# schema_version=v2
second,participant_id,level,wave,spawn_id,agent_type,n_reward,n_threat,n_coactive_fat,n_coactive_tall,event_type,avatar_hp_delta,avatar_gold_delta,avatar_hp,avatar_gold,unix_timestamp,datetime,in_field,distance,warning
23,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,14.853,
23,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,49.859,
24,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,9.846,
24,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,44.853,
24,,1,,,,0,1,0,1,hook_fire,0,0,100,-60,,,0,,
25,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,,0,0,100,-60,,,1,4.848,
25,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,39.854,
26,,1,1,L1_W1_THR_01,Threat,0,1,0,1,,0,0,100,-60,,,1,34.852,
26,,1,1,L1_W1_TALL_01,Coactive_Tall,0,1,0,1,collision,0,-30,100,-90,,,1,4.729,
26,,1,,,,0,1,0,1,hook_miss,0,0,100,-90,,,0,,
27,,1,1,L1_W1_THR_01,Threat,0,1,0,0,,0,0,100,-90,,,1,29.852,
28,,1,1,L1_W1_THR_01,Threat,1,1,1,0,,0,0,100,-90,,,1,24.858,
28,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,entry,0,0,100,-90,,,1,54.861,
28,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,entry,0,0,100,-90,,,1,54.861,
29,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,100,-90,,,1,49.846,
29,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,100,-90,,,1,49.846,
29,,1,1,L1_W1_THR_01,Threat,1,1,1,0,shot,-5,0,95,-90,,,1,21.885,
30,,1,1,L1_W1_THR_01,Threat,1,1,1,0,,0,0,95,-90,,,1,14.857,
30,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,95,-90,,,1,44.852,
30,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,95,-90,,,1,44.852,
31,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,95,-90,,,1,39.852,
31,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,95,-90,,,1,39.852,
31,,1,1,L1_W1_THR_01,Threat,1,1,1,0,shot,-5,0,90,-90,,,1,13.122,
32,,1,1,L1_W1_RWD_02,Reward,1,1,1,0,,0,0,90,-90,,,1,34.846,
32,,1,1,L1_W1_FAT_02,Coactive_Fat,1,1,1,0,,0,0,90,-90,,,1,34.846,
32,,1,1,L1_W1_THR_01,Threat,1,1,1,0,collision,10,-30,100,-120,,,1,5.144,
33,,1,1,L1_W1_RWD_02,Reward,1,0,1,0,,0,0,100,-120,,,1,29.845,
33,,1,1,L1_W1_FAT_02,Coactive_Fat,1,0,1,0,,0,0,100,-120,,,1,29.845,
34,,1,1,L1_W1_RWD_02,Reward,1,0,1,0,,0,0,100,-120,,,1,24.849,
34,,1,1,L1_W1_FAT_02,Coactive_Fat,1,0,1,0,,0,0,100,-120,,,1,24.849,
34,,1,,,,1,0,1,0,level_end,0,0,100,-120,1789713424249,2026-09-18 14:37:04,0,,
