Date,Second,Level,Wave,Avatar_facing,Avatar_action,Avatar_action_face,Avatar_action_detail,Avatar_health,Avatar_healthchange,Avatar_gold,Avatar_goldchange,Agent_number,Positive_contact,Negative_contact,Reward_number,Reward_nearest_distance,Reward_nearest_location_x,Reward_nearest_location_y,Reward_inrange_count,Reward_outrange_count,Reward_entry_direction,Reward_entry_angle,Threat_number,Threat_nearest_distance,Threat_nearest_location_x,Threat_nearest_location_y,Threat_projectile_hit,Threat_projectile_count,Threat_inrange_count,Threat_outrange_count,Threat_entry_direction,Threat_entry_angle,Coactive1_number,Coactive1_nearest_distance,Coactive1_nearest_location_x,Coactive1_nearest_location_y,Coactive1_inrange_count,Coactive1_outrange_count,Coactive1_entry_direction,Coactive1_entry_angle,Coactive2_number,Coactive2_nearest_distance,Coactive2_nearest_location_x,Coactive2_nearest_location_y,Coactive2_inrange_count,Coactive2_outrange_count,Coactive2_entry_direction,Coactive2_entry_angle,Action_event_start,Action_event_end
"2025/7/17-19:28:40",76,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:41",77,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:42",78,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:43",79,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:44",80,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:45",81,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:46",82,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:47",83,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:48",84,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:49",85,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:50",86,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:51",87,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:52",88,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:53",89,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:54",90,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:55",91,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:56",92,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:57",93,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:58",94,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:28:59",95,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:00",96,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:01",97,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:02",98,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
"2025/7/17-19:29:03",99,-,-,down-right,"","","",100,"",-40,"",0,"","",0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,0,999999,0,0,0,0,-1,none,"",""
